,title,overview,original_language,release_date,popularity,vote_count,vote_average
8636,Digimon: The Movie,"When a powerful new Internet Digimon hatches and begins to consume data at an alarming rate, the Digidestined - kids chosen to save the digital world - must put an end to the destruction before the damage becomes irreversible and worldwide communication halts forever. As computer-based missiles are launched, and a wayward Digimon kidnaps the Digidestined, only the combined efforts of a worldwide network of kids and a new group of ""Digidestined"" can rescue the others and stop global disaster.",ja,2000-03-04,30.941,258,6.6
8637,Memory: The Origins of Alien,"The untold origin story behind Ridley Scott's Alien - rooted in Greek and Egyptian mythologies, underground comics, the art of Francis Bacon, and the dark visions of Dan O'Bannon and H.R. Giger. A contemplation on the symbiotic collaborative process of movie-making, the power of myth, and our collective unconscious.",en,2019-01-24,30.935,74,6.128
8638,Bedazzled,"Stanley is infatuated with Margaret, the statuesque waitress who works with him. He meets George Spiggott AKA the devil and sells his soul for 7 wishes, which Stanley uses to try and make Margaret his own first as an intellectual, then as a rock star, then as a wealthy industrialist. As each fails, he becomes more aware of how empty his life had been and how much more he has to live for.",en,1967-10-30,30.934,137,6.3
8639,The Librarian: Quest for the Spear,"When a magical artifact is lifted from his library, a meek librarian sets out to ensure its safe return.",en,2004-07-12,30.933,589,6.2
8640,Traveller,"A young man, Pat, visits the clan of gypsy-like grifters (Irish Travellers) in rural North Carolina from whom he is descended. He is at first rejected, but cousin Bokky takes him on as an apprentice. Pat learns the game while Bokky falls in love and desires a different life. Written by Jeff Hole",en,1997-04-18,24.67,26,5.5
8641,Come Drink with Me,"Golden Swallow is a fighter-for-hire who has been contracted by the local government to retrieve the governor's kidnapped son. Holding him is a group of rebels who are demanding that their leader be released from prison in return for the captured son. After a brief encounter with the gang at a local restaurant, Golden Swallow is joined by an inebriated wanderer Drunken Cat who aids her in her mission.",zh,1966-04-07,19.74,118,6.691
8642,October Kiss,"Poppy Summerall is hired near Halloween as a temporary nanny by Ryan Lawson, a widowed, work-obsessed executive. Through a series of adventures, the eternally optimistic Poppy sets out to teach Ryan and his two young children what is important in life - unconditional love, family and the joy of everyday occurrences. Poppy and Ryan soon find they are drawn to each other. Could it become more than temporary?",en,2015-10-17,20.684,68,6.3
8643,How to Fall in Love by Christmas,"A beloved writer-turned-CEO of her own Goop-like lifestyle brand, Prism, must secure a partnership with Singled Out to save her company, but the only way to appease them is for her to write a column on falling in love by Christmas with the help of the charming and handsome photographer who has been assigned to the piece.",en,2023-12-21,30.923,0,0.0
8644,Words on Bathroom Walls,"Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to open his heart and not be defined by his condition.",en,2020-08-21,43.291,532,7.883
8645,Gantz: Perfect Answer,"Summoned by the black sphere, Kei and Masaru fight against extraterrestrials until Masaru grows tired of fighting and refuses to continue.",ja,2011-04-23,24.391,189,6.7
8646,Dunston Checks In,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",en,1996-01-12,18.553,207,5.4
8647,California Suite,The misadventures of four groups of guests at the Beverly Hills Hotel.,en,1978-12-15,19.808,89,5.8
8648,Out of Blue,"Mike Hoolihan is an unconventional New Orleans cop investigating the murder of renowned astrophysicist Jennifer Rockwell, a black hole expert found shot to death in her observatory.  As Mike tumbles down the rabbit hole of the disturbing, labyrinthine case, she finds herself grappling with increasingly existential questions of quantum mechanics, parallel universes, and exploding stars. The hunt for a killer draws a detective into an even larger mystery: the nature of the universe itself.",en,2019-03-22,30.919,75,5.2
8649,40 Days and 40 Nights,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life.",en,2002-03-01,25.997,1046,5.467
8650,Halloweentown,"On her 13th birthday, Marnie learns she's a witch, discovers a secret portal, and is transported to Halloweentown — a magical place where ghosts and ghouls, witches and werewolves live apart from the human world. But she soon finds herself battling wicked warlocks, evil curses, and endless surprises.",en,1998-11-10,18.888,489,6.8
8651,Dr. Strange,A psychiatrist becomes the new Sorcerer Supreme of the Earth in order to battle an evil Sorceress from the past.,en,1978-09-06,24.057,89,6.0
8652,Nancy,"Nancy becomes increasingly convinced she was kidnapped as a child. When she meets a couple whose daughter went missing thirty years ago, reasonable doubts give way to willful belief.",en,2018-06-08,30.913,97,5.8
8653,Dave Made a Maze,"Dave, an artist who has yet to complete anything significant in his career, builds a fort in his living room out of pure frustration, only to wind up trapped by the fantastical pitfalls, booby traps, and critters of his own creation. Ignoring his warnings, Dave’s girlfriend Annie leads a band of oddball explorers on a rescue mission. Once inside, they find themselves trapped in an ever-changing supernatural world, threatened by booby traps and pursued by a bloodthirsty Minotaur.",en,2017-08-18,26.894,218,6.4
8654,Haunt,"An introverted teen sparks with his new neighbor, and together the couple begins to explore the haunted house that his family has unknowingly just purchased.",en,2014-06-27,30.913,207,5.2
8655,Street Flow,"Noumouké, from the suburb of Paris, is about to decide which brother's foot steps to follow - the lawyer student Soulaymaan or the gangster Demba.",fr,2019-10-12,30.912,327,7.0
8656,Seobok,"Ex intelligence agent Ki-heon is tasked with safely transporting Seo Bok, the first ever human clone, who holds the secret of eternal life. Several forces try to take control of Seo Bok to serve their own agendas.",ko,2021-04-12,30.906,188,7.3
8657,After Love,Marie and Boris decide to get a divorce after 15 years of marriage. Tensions rise when cash-strapped Boris must continue to live with Marie and the two children while trying to figure out how to divide the assets.,fr,2016-06-08,21.142,113,6.1
8658,My Father's Dragon,"Struggling to cope after a move to the city with his mother, Elmer runs away in search of Wild Island and a young dragon who waits to be rescued. Elmer’s adventures introduce him to ferocious beasts, a mysterious island and the friendship of a lifetime.",en,2022-11-04,43.266,79,7.4
8659,Haunter,A teenager is stuck in a time loop that is not quite the same each time. She must uncover the truth but her actions have consequences for herself and others.,en,2013-10-17,30.903,518,6.073
8660,Touch of Evil,"When a car bomb explodes on the American side of the U.S./Mexico border, Mexican drug enforcement agent Miguel Vargas begins his investigation, along with American police captain Hank Quinlan. When Vargas begins to suspect that Quinlan and his shady partner, Menzies, are planting evidence to frame an innocent man, his investigations into their possible corruption quickly put himself and his new bride, Susie, in jeopardy.",en,1958-03-30,30.902,1324,7.771
8661,Shut In,"A widowed child psychologist lives in an isolated existence in rural New England. When caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever.",en,2016-11-11,30.899,659,5.299
8662,Shanghai Surprise,"Glendon Wasey is a fortune hunter looking for a fast track out of China. Gloria Tatlock is a missionary nurse seeking the curing powers of opium for her patients. Fate sets them on a hectic, exotic, and even romantic quest for stolen drugs. But they are up against every thug and smuggler in Shangai.",en,1986-08-29,30.895,70,4.3
8663,Guardians,"During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again.",ru,2017-02-14,30.893,730,5.039
8664,Don't Move,"While waiting for the brain surgery of his daughter Angela, victim of a motorcycle accident, the surgeon Timoteo recalls his torrid affair with and passion for Italia, a simple woman from slums in the periphery of the big city where he lives. The ghost of the beloved and sexual object of desire Italia chases him in his memories.",it,2004-03-12,30.891,259,7.0
8665,Héctor El Father: Conocerás la verdad,"This autobiography of Hector Delgado runs from his childhood to become one of the greatest exponents of the urban genre, but the results of that life did not please him and led him to try to take his life  .After being victim of a firefight at a service station in Aguada, a city hall in Puerto Rico, he stopped earning at least two hundred American dollars for presentation and being ""devout of Jesus""",es,2018-03-22,30.888,100,7.85
8666,The Queen of Spain,"After her experiences in Nazi Germany, actress Macarena Granada traveled to Hollywood, where she became a star. In the 1950s, the diva returns to Francoist Spain to star a Hollywood blockbuster about Queen Isabella I of Castile. (A sequel to The Girl of Your Dreams, 1998.)",es,2016-11-25,30.884,84,5.2
8667,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...",en,2004-06-25,30.884,14275,7.263
8668,We Bought a Zoo,"Benjamin has lost his wife and, in a bid to start his life over, purchases a large house that has a zoo – welcome news for his daughter, but his son is not happy about it. The zoo is in need of renovation and Benjamin sets about the work with the head keeper and the rest of the staff, but, the zoo soon runs into financial trouble.",en,2011-12-08,30.883,2532,6.77
8669,Caesar and Cleopatra,The aging Caesar finds himself intrigued by the young Egyptian queen. Adapted by George Bernard Shaw from his own play.,en,1945-12-11,30.88,49,6.2
8670,Savage Grace,"This examination of a famous scandal from the 1970s explores the relationship between Barbara Baekeland and her only son, Antony. Barbara, a lonely social climber unhappily married to the wealthy but remote plastics heir Brooks Baekeland, dotes on Antony, who is homosexual. As Barbara tries to ""cure"" Antony of his sexuality -- sometimes by seducing him herself -- the groundwork is laid for a murderous tragedy.",en,2007-05-18,30.879,173,5.7
8671,Duplex,"When a young couple buys their dream home, they have no idea what the sweet little old lady upstairs is going to put them through!",en,2003-09-26,30.879,1578,6.096
8672,Hunter's Moon,A trio of young sisters are attacked by local thugs. Then a force inhabiting the orchard exacts its revenge.,en,2020-03-24,30.878,31,3.6
8673,The Doorman,"A former Marine turned doorman at a luxury New York City high-rise must outsmart and battle a group of art thieves and their ruthless leader — while struggling to protect her sister's family. As the thieves become increasingly desperate and violent, the doorman calls upon her deadly fighting skills to end the showdown.",en,2020-10-01,30.876,377,5.8
8674,Sorry If I Call You Love,"A successful, attractive, intelligent and brilliant advertising executive is longing to finally find emotional stability in his life, and decides to propose to his girlfriend. After she refuses his proposal, his life takes a turn when a new young lady enters his life.",es,2014-06-20,30.875,423,7.5
8675,Decision at Sundown,A man and his partner arrive at a small Western town to kill its most powerful man because the former blames him for his wife's death.,en,1957-11-10,30.873,64,6.4
8676,Air Buddies,"Five puppies are shocked to find out that their parents, Buddy and Molly, have been abducted and face obstacles while trying to rescue them.",en,2006-12-12,30.872,308,5.9
8677,Frantic,"The wife of an American doctor suddenly vanishes in Paris and, to find her, he navigates a puzzling web of language, locale, laissez-faire cops, triplicate-form filling bureaucrats and a defiant, mysterious waif who knows more than she tells.",en,1988-02-19,30.87,927,6.706
8678,The Chef of South Polar,"When eight men are assigned to live 14,000 kilometers from home in inhumanly cold conditions, food becomes their new existence.",ja,2009-08-07,30.866,41,6.9
8679,Blood Out,"When big city detectives refuse to further investigate his kid brother's gang related murder, small town Sheriff Michael Spencer drops the badge and goes undercover to find his brother's killer and avenge his death.",en,2011-04-25,30.864,98,5.3
8680,The Bar,"In downtown Madrid, a series of mysterious gunshots trap a motley assortment of people in a decrepit bar.",es,2017-02-15,30.863,1239,6.315
8681,Liz and the Blue Bird,"Mizore Yoroizuka plays the oboe, and Nozomi Kasaki plays the flute in Kitauji High School concert band. As seniors, this will be their last competition together, and the selected piece ""Liz and the Blue Bird"" features a duet for the oboe and flute. ""This piece reminds me of us."" Nozomi says cheerfully, enjoying the solo, while Mizore's usual happiness to play with Nozomi is tinged with the dread of their inevitable parting. By all accounts the girls are best friends, but the oboe and flute duet sounds disjointed, as if underscoring a growing distance between them. Talk of college creates a small rift in their relationship, as the story evolves to reveal a shocking and emotional conclusion.",ja,2018-04-21,30.86,95,7.3
8682,Untold: Deal with the Devil,"Christy Martin broke boundaries and noses as she rose in the boxing world, but her public persona belied personal demons, abuse and a threat on her life.",en,2021-08-17,30.859,50,6.9
8683,The Addiction,A vampiric doctoral student tries to follow the philosophy of a nocturnal comrade and control her thirst for blood.,en,1995-01-10,30.851,236,6.5
8684,Monos,"On a faraway mountaintop, eight kids with guns watch over a hostage and a conscripted milk cow.",es,2019-08-15,30.849,357,6.658
8685,FearDotCom,"When four bodies are discovered among the industrial decay and urban grime of New York City, brash young detective Mike Reilly teams with ambitious Department of Health researcher Terry Huston to uncover the cause behind their violent and inexplicable deaths. The only common factor shared by the victims? Each died exactly 48 hours after logging onto a website called feardotcom.",en,2002-08-09,30.848,333,3.7
8686,Another Gay Sequel: Gays Gone Wild!,Four university students head to Florida for spring break and enroll in a contest to see who can get the most sexual partners.,en,2008-11-06,30.847,121,5.802
8687,One Day,"A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",en,2011-03-02,30.845,3961,7.4
8688,McQ,Police Lieutenant Lon McQ investigates the killing of his best friend and uncovers corrupt elements of the police department dealing in confiscated drugs.,en,1974-01-04,30.845,82,6.1
8689,Phenomena,"A young girl, with an amazing ability to communicate with insects, is transferred to an exclusive Swiss boarding school, where her unusual capability might help solve a string of murders.",en,1985-01-25,30.844,746,6.781
8690,The Core,"Geophysicist Dr. Josh Keyes discovers that an unknown force has caused the earth's inner core to stop rotating. With the planet's magnetic field rapidly deteriorating, our atmosphere literally starts to come apart at the seams with catastrophic consequences. To resolve the crisis, Keyes, along with a team of the world's most gifted scientists, travel into the earth's core. Their mission: detonate a device that will reactivate the core.",en,2003-03-28,30.844,1717,5.786
8691,Mahjong Nights,Alexa witnesses a simple mahjong night turned bloody when all the player's dark secrets are discovered - including Alexa's illicit affair with her stepfather.,tl,2021-11-12,30.842,7,6.1
8692,Digging for Fire,"Tim and Lee are married with a young child. The chance to stay at a fancy home in the Hollywood Hills is complicated by Tim's discovery of a bone and a rusty old gun in the yard. Tim is excited by the idea of a mystery, but Lee doesn't want him to dig any further, preferring that he focus on the family taxes, which he promised to do weeks ago. This disagreement sends them on separate and unexpected adventures over the course of a weekend, as Tim and his friends seek clues to the mystery while Lee searches for answers to the bigger questions of marriage and parenthood.",en,2015-08-21,30.842,136,5.1
8693,The Land of Steady Habits,"After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life.",en,2018-09-12,30.841,151,5.48
8694,Kalifornia,"A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.",en,1993-06-24,30.841,693,6.548
8695,The Hunting Party,"A ruthless rancher, and his gang, use extremely long range rifles to kill the men who kidnapped his wife.",en,1971-07-16,30.837,58,6.2
8696,The Lost Lotteries,Five down-on-their-luck strangers must band together to steal back winning lottery tickets worth millions from a wicked mafia boss.,th,2022-11-16,30.836,22,6.773
8697,Extraterrestrial,"Five friends set out to a cabin in the woods for a fun weekend getaway that is, until extraterrestrial visitors turn it into a fight for their lives. The group is pulled from their reverie when a flickering object crashes deep in the woods. As they investigate, the friends stumble across an alien spacecraft, and its inhabitants have not arrived in peace.",en,2014-10-17,30.835,471,5.484
8698,Puncture,A lawyer who is a drug addict fights a medical-supplies corporation in court while battling his personal demons.,en,2011-09-23,30.834,361,6.7
8699,Internal Affairs,"Keen young Raymold Avila joins the Internal Affairs Department of the Los Angeles police. He and partner Amy Wallace are soon looking closely at the activities of cop Dennis Peck whose financial holdings start to suggest something shady. Indeed Peck is involved in any number of dubious or downright criminal activities. He is also devious, a womaniser, and a clever manipulator, and he starts to turn his attention on Avila.",en,1990-01-12,30.834,346,6.266
8700,My Little Pony: A New Generation,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",en,2021-09-23,30.831,286,7.7
8701,Moving,"Arlo accepts what seems to him to be a dream promotion to Idaho. He soon discovers, however, that moving has its own share of problems.",en,1988-03-04,30.831,104,5.597
8702,More the Merrier,Multiple stories about the oscillating world of couple relationships and how difficult it can be to separate sex from love.,es,2021-07-30,30.83,406,6.748
8703,Pioneer,"Pioneer is set in the early '80s, at the beginning of the Norwegian Oil Boom. Enormous oil and gas deposits are discovered in the North Sea and the authorities aim to bring the oil ashore through a pipeline from depths of 500 meters. A professional diver, Petter, obsessed with reaching the bottom of the Norwegian Sea has the discipline, strength and courage to take on the world's most dangerous mission. But a sudden, tragic accident changes everything. Petter is sent on a perilous journey where he loses sight of who's pulling the strings. Gradually he realizes that he is in way over his head and that his life is at stake.",no,2013-08-30,30.827,88,5.8
8704,Solar Crisis,A huge solar flare is predicted to fry the Earth. Astronauts aboard the spaceship Helios must go to the Sun to drop a bomb equipped with an Artificial Intelligence and a Japanese pilot at the right time so the flare will point somewhere else.,en,1990-07-14,30.827,26,4.52
8705,Gen-Y Cops,"When terrorists abduct a deadly government attack robot, the call is put out to the Gen-Y Cops, an elite task force with lethal fighting skills. Together with a trigger-happy FBI agent, the Gen-Y Cops race against time to destroy the robot before it destroys their city.",zh,2000-11-17,30.821,17,4.7
8706,Vamp,"Two fraternity pledges go to a sleazy bar in search of a stripper for their college friends, unaware it is occupied by vampires.",en,1986-07-18,30.82,141,5.9
8707,Any Which Way You Can,"Philo takes part in a bare knuckle fight - as he does - to make some more money than he can earn from his car repair business. He decides to retire from fighting, but when the Mafia come along and arrange another fight, he is pushed into it. A motorcycle gang and an orangutan called Clyde all add to the 'fun'.",en,1980-12-17,30.816,297,5.8
8708,Black Mask,"Tsui escapes from a super soldier project and plans to lead a peaceful life. However, when his former comrades go on a violent crime spree, he takes it upon himself to end their reign of terror.",cn,1996-11-07,30.814,249,6.2
8709,Toolbox Murders,"Young couple Steve and Nell move into a once fashionable but now decaying apartment block in Hollywood, and soon realise that a number of young residents have met unusually violent deaths. Before long, Nell makes some disturbing discoveries about the building's manager and her fellow tenants.",en,2004-11-12,30.813,163,5.7
8710,Stagecoach,"A group of unlikely travelling companions find themselves on the same stagecoach to Cheyenne. They include a drunken doctor, a bar girl who's been thrown out of town, a professional gambler, a travelling liquor salesman, a banker who has decided to embezzle money, a gun-slinger out for revenge and a young woman going to join her army captain husband. All have secrets but when they are set upon by an Indian war party and then a family of outlaws, they find they must all work together if they are to stay alive.",en,1966-04-21,30.807,35,6.057
8711,Downhill,"Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.",en,2020-02-06,30.804,254,5.327
8712,Jaguar,"A shaman from the South American rain forest visits France for a public relations campaign. In a hotel's elevator in Paris he meets a French good-for-nothing named Perrin he's fascinated with. He follows Perrin to his flat and although Perrin is not very enthusiastic about so much interest in his person, he lets the shaman spend the night in his flat. After an official meeting on the next day being part of the PR campaign the shaman suffers from a heart attack. Hardly being able to speak and laying in a hospital bed he demands to see Perrin. The latter is not very interested in meeting the shaman again. However it looks like it is to late for animosities as the shaman and Perrin seem to be tied mentally somehow since they've met in the elevator.",fr,1996-10-09,30.804,211,5.7
8713,Roma,"A virtually plotless, gaudy, impressionistic portrait of Rome through the eyes of one of its most famous citizens.",it,1972-03-16,30.804,280,7.273
8714,Sister of the Groom,"Audrey attempts to stop her brother from marrying a young French woman during their rescheduled wedding weekend in the Hamptons, which happens to be the same weekend she turns 40.",en,2020-12-18,30.802,23,5.848
8715,I'll Follow You Down,"After the disappearance of a young scientist on a business trip, his son and wife struggle to cope, only to make a bizarre discovery years later - one that may bring him home.",en,2013-07-28,30.801,159,6.0
8716,School Daze,Fraternity and sorority members clash with other students at a historically black college during homecoming weekend.,en,1988-02-12,30.801,91,5.9
8717,Zombie Town,Amy and Mike unearth a centuries-old curse when they decide to watch an exclusive film reel. The duo must track down an infamous filmmaker and navigate a town of hungry zombies to save the world.,en,2023-09-01,30.799,16,4.125
8718,Curse of Chucky,"After the passing of her mother, Nica Pierce, a young woman in a wheelchair, is forced to deal with her sister, brother-in-law, niece and their nanny as they say their goodbyes to mother. But when people start turning up dead, Nica discovers the culprit might be a strange doll she received a few days earlier.",en,2013-10-08,30.798,1443,5.854
8719,Mutant Chronicles,It's the year 2707. Earth's natural resources have all but been exhausted by mankind. Battles rage for the remainder between the competing Corporations. During one such battle the seal is broken and awakens an ancient and deadly machine that was once defeated thousands of years ago. The order that awaited its return must now lead a small group of soldiers to destroy it once and for all.,en,2008-08-07,30.797,423,5.241
8720,Wild Wild West,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,en,1999-06-30,26.62,3116,5.3
8721,Curiosa,"A passionate love story set against a backdrop of sexual freedom, loosely based on the relationship between 19th century authors Pierre Louÿs and Marie de Régnier",fr,2019-04-03,30.795,179,5.992
8722,Double Identity,"In Chechnya, an American doctor takes a detour in life when he helps a mysterious woman escape from her would-be assailant.",en,2009-12-18,18.477,56,4.8
8723,Darby and the Dead,"After Darby Harper suffered a near-death experience as a child, she gained the ability to see ghosts. To combat the existential boredom of high school, she runs a side business counseling local spirits in her spare time. When an unexpected occurrence happens between Darby and Capri, the most popular girl at her high school, Darby reluctantly agrees to help her and in the process learns how to fit in with the living world again.",en,2022-12-02,30.793,60,6.0
8724,All Day and a Night,"While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime.",en,2020-05-01,27.632,163,6.2
8725,Hurricane Bianca,"A teacher from New York moves to a small town in Texas, gets fired for being gay, and returns disguised in drag to get revenge on the people who were nasty to him.",en,2016-06-03,20.375,259,6.05
8726,Get Hard,"When obscenely rich hedge-fund manager James is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell-- a black businessman who's never even had a parking ticket -- for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other.",en,2015-03-26,23.623,2546,6.014
8727,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",en,1995-11-10,28.868,3838,6.306
8728,The Lucky One,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,en,2012-04-19,26.321,3432,7.122
8729,Night Watch,"Among normal humans live the ""Others"" possessing various supernatural powers. They are divided up into the forces of light and the forces of the dark, who signed a truce several centuries ago to end a devastating battle. Ever since, the forces of light govern the day while the night belongs to their dark opponents. In modern day Moscow the dark Others actually roam the night as vampires while a ""Night Watch"" of light forces, among them Anton, the movie's protagonist, try to control them and limit their outrage",ru,2004-06-27,20.369,678,6.254
8730,After Porn Ends 3,After Porn Ends 3 continues to explore whether a career as an adult performer is inherently damaging to the balance of a perfomer's life once retired.,en,2018-10-30,26.104,96,5.4
8731,McLaren,"The story of New Zealander Bruce McLaren, who founded the McLaren Motor Racing team, showing the world that a man of humble beginnings could take on the elite of motor racing and win.",en,2016-02-14,23.922,85,7.782
8732,Foxfire,The story of five teenage girls who form an unlikely bond after beating up a teacher who has sexually harassed them. They build a solid friendship but their wild ways begin to get out of control.,en,1996-08-23,37.617,120,6.046
8733,Compulsion,Two close friends kidnap and murder a young boy and are defended in court by a renowned attorney who makes an impassioned plea against capital punishment.,en,1959-04-01,28.867,123,7.0
8734,Alone in the Dark,"Edward Carnby is a private investigator specializing in unexplainable supernatural phenomena. His cases delve into the dark corners of the world, searching for truth in the occult remnants of ancient civilizations. Now, the greatest mystery of his past is about to become the most dangerous case he has ever faced.",en,2005-01-28,27.367,554,3.228
8735,Sobibor,"The film is based on a real story that happened in 1943 in the Sobibor concentration camp in German-occupied Poland. The main character of the movie is the Soviet-Jewish soldier Alexander Pechersky, who at that time was serving in the Red Army as a lieutenant. In October 1943, he was captured by the Nazis and deported to the Sobibor concentration camp, where Jews were being exterminated in gas chambers. But, in just 3 weeks, Alexander was able to plan an international uprising of prisoners from Poland and Western Europe. This uprising resulted in being the only successful one throughout the war, which led to the largest escape of prisoners from a Nazi concentration camp.",ru,2018-05-03,26.374,259,6.548
8736,Panda! Go Panda!,"The plot follows Mimiko, a bright little girl left alone when her grandmother leaves on a trip. Making a few stops at some local stores, Mimiko comes home to her house in a bamboo grove and finds a baby panda named Panny sleeping on the back doorstep. She quickly makes friends with the little panda, and invites him in for a drink. His father, PapaPanda, soon comes to visit, and they decide to become a family after PapaPanda offers to.",ja,1972-12-17,18.835,74,6.2
8737,The Losers,"On a mission deep in the Bolivian jungle, a team of elite commandos finds itself on the receiving end of a lethal betrayal. Now presumed dead, the men join forces with a mysterious operative named Aisha to hunt down their enemy and even the score.",en,2010-04-23,28.117,1692,6.275
8738,Capone,"The 47-year old Al Capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past.",en,2020-06-26,41.129,329,4.979
8739,The Voices,"A mentally unhinged factory worker must decide whether to listen to his talking cat and become a killer, or follow his dog's advice to keep striving for normalcy.",en,2014-01-19,24.819,1648,6.243
8740,Noel,"Christmas Eve in New York, and the lonely divorced publisher, Rose Collins, needs a miracle to improve the health of her mother, interned in a hospital with Alzheimers. She feels sorry for another patient and meets his visitor. Meanwhile, Nina Vasquez breaks her engagement with her beloved fiancé Mike due to his suffocating jealousy, but misses him. Mike is stalked by a stranger, bartender Artie Venzuela. The poor Jules arranges to spend Christmas Eve in the hospital, where he spent the best Christmas of his life when he was a teenager. The lives of some of these characters cross with others along the night.",en,2004-11-12,30.764,277,5.883
8741,Sparks,A masked vigilante who discovers the dark side to heroism. Going after the nation's most notorious super criminal leaves Sparks' life and reputation in ruins.,en,2013-03-01,30.762,87,4.9
8742,Barbie: Skipper and the Big Babysitting Adventure,"Barbie’s younger sister Skipper is a babysitting expert, but when her babysitting business hits a snag, she takes a summer job at a water park and tries out different jobs with some new friends. A birthday party at the park goes awry and Skipper’s babysitting skills save the day! The success renews Skipper’s confidence in her babysitting business, and she and her new friends start a babysitting squad.",en,2023-03-03,30.761,39,7.1
8743,Hideaway,"Hatch Harrison, his wife, Lindsey, and their daughter, Regina, are enjoying a pleasant drive when a car crash leaves wife and daughter unharmed but kills Hatch. However, an ingenious doctor, Jonas Nyebern, manages to revive Hatch after two lifeless hours. But Hatch does not come back unchanged. He begins to suffer horrible visions of murder -- only to find out the visions are the sights of a serial killer.",en,1995-03-03,30.759,136,5.1
8744,Secret Obsession,"Newlywed Jennifer is brutally attacked at a dark rest stop. While healing from her injuries, she can’t recall anything from her past, including the ordeal. Her husband, Russell , is just thankful she’s alive and eager to get her home. As he reintroduces her to their secluded mountain estate, Detective Page  pursues Jennifer’s assailant — his own daughter went missing and was never found. The same fate now awaits Jennifer, unless someone realizes that her loving caretaker is actually her captor.",en,2019-07-18,30.758,1030,5.476
8745,Ten Inch Hero,Four friends search for love and happiness while working at a California sandwich shop.,en,2007-04-25,30.748,155,7.1
8746,Pretty Guardian Sailor Moon Cosmos The Movie Part 2,A continuation of Pretty Guardian Sailor Moon Cosmos The Movie Part 1.,ja,2023-06-30,30.747,1,10.0
8747,Portals,A series of worldwide blackouts cause millions of mysterious cosmic anomalies to appear everywhere across the planet. Some people are drawn into them with horrifying consequences.,en,2019-10-25,30.747,33,3.5
8748,Shangri-La Suite,Karen and Jack met in a mental hospital and fell in love. They set out to follow what Jack thinks is his destiny: killing Elvis Presley.,en,2016-10-28,30.743,39,5.9
8749,A Fairly Odd Christmas,After Timmy Turner causes Santa amnesia he must become the new Santa in order to save Christmas.,en,2013-11-12,30.743,70,5.2
8750,Tale of Tales,The Queen of Selvascura risks everything to be a mother; the King of Roccaforte falls in love with the voice of a mysterious girl; the King of Altomonte becomes obsessed with a flea and neglects his daughter.,it,2015-05-14,30.742,1562,6.371
8751,Late Phases,"When deadly attacks from a nearby forest beset a secluded retirement community, it is up to a blind army veteran to discover what the residents are hiding.",en,2014-11-21,30.74,222,6.0
8752,The Marine,A group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the South Carolinian wilderness to retrieve her.,en,2006-10-13,30.738,667,5.9
